"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS01510","gene-SAUSA300_RS01510",0,0,0,2,0,0
"gene-SAUSA300_RS01515","gene-SAUSA300_RS01515",15,12,12,24,16,22
"gene-SAUSA300_RS01520","gene-SAUSA300_RS01520",0,1,0,0,0,0
"gene-SAUSA300_RS01525","gene-SAUSA300_RS01525",6,2,4,2,4,0
"gene-SAUSA300_RS01530","gene-SAUSA300_RS01530",6,3,2,1,2,3
"gene-SAUSA300_RS01535","gene-SAUSA300_RS01535",3,6,0,0,5,2
"gene-SAUSA300_RS01540","gene-SAUSA300_RS01540",45,41,45,42,39,47
"gene-SAUSA300_RS01545","gene-SAUSA300_RS01545",10,16,6,16,10,20
"gene-SAUSA300_RS01550","gene-SAUSA300_RS01550",6,0,0,2,0,2
"gene-SAUSA300_RS01555","gene-SAUSA300_RS01555",0,0,0,2,0,0
"gene-SAUSA300_RS01560","gene-SAUSA300_RS01560",2,6,0,2,0,0
"gene-SAUSA300_RS01565","gene-SAUSA300_RS01565",0,0,0,0,0,0
"gene-SAUSA300_RS01570","gene-SAUSA300_RS01570",0,0,0,0,0,0
"gene-SAUSA300_RS01575","gene-SAUSA300_RS01575",0,0,0,0,0,0
"gene-SAUSA300_RS01580","gene-SAUSA300_RS01580",0,0,0,0,0,2
"gene-SAUSA300_RS01585","gene-SAUSA300_RS01585",0,0,2,0,0,0
"gene-SAUSA300_RS15725","gene-SAUSA300_RS15725",0,0,0,0,0,0
"gene-SAUSA300_RS01590","gene-SAUSA300_RS01590",1,0,0,0,0,2
"gene-SAUSA300_RS01595","gene-SAUSA300_RS01595",1,0,0,0,0,0
"gene-SAUSA300_RS01600","gene-SAUSA300_RS01600",0,0,0,0,0,0
"gene-SAUSA300_RS01605","gene-SAUSA300_RS01605",0,0,0,0,0,4
